Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
246.869610	1.72000000	1.67059627	0.598588670	2178.99980	3208.57231	38.9938024	9.91916282	14.0985372	1216.48772	-0.192034292	7.82854633	0.162029158	supercritical
247.513015	1.72000000	1.66627328	0.600141654	2185.40118	3217.64482	39.0305048	9.92400605	14.1030088	1217.95277	-0.193833373	7.84252702	0.162371075	supercritical
248.156420	1.72000000	1.66197279	0.601694570	2191.80554	3226.72020	39.0671235	9.92880641	14.1074406	1219.41640	-0.195621162	7.85649667	0.162712483	supercritical
248.799825	1.72000000	1.65769462	0.603247418	2198.21285	3235.79841	39.1036588	9.93356420	14.1118330	1220.87863	-0.197397769	7.87045532	0.163053382	supercritical
249.443230	1.72000000	1.65343861	0.604800200	2204.62309	3244.87944	39.1401110	9.93827973	14.1161862	1222.33946	-0.199163300	7.88440301	0.163393775	supercritical
250.086635	1.72000000	1.64920457	0.606352915	2211.03624	3253.96325	39.1764804	9.94295331	14.1205005	1223.79888	-0.200917862	7.89833978	0.163733663	supercritical
250.730040	1.72000000	1.64499234	0.607905565	2217.45226	3263.04983	39.2127675	9.94758523	14.1247760	1225.25691	-0.202661559	7.91226567	0.164073047	supercritical
251.373445	1.72000000	1.64080175	0.609458149	2223.87113	3272.13915	39.2489725	9.95217579	14.1290132	1226.71355	-0.204394493	7.92618072	0.164411931	supercritical
252.016850	1.72000000	1.63663263	0.611010669	2230.29282	3281.23118	39.2850957	9.95672528	14.1332123	1228.16879	-0.206116768	7.94008496	0.164750314	supercritical
252.660255	1.72000000	1.63248482	0.612563125	2236.71732	3290.32590	39.3211374	9.96123402	14.1373735	1229.62266	-0.207828483	7.95397845	0.165088200	supercritical
253.303660	1.72000000	1.62835814	0.614115517	2243.14459	3299.42328	39.3570981	9.96570228	14.1414971	1231.07514	-0.209529738	7.96786121	0.165425590	supercritical
253.947065	1.72000000	1.62425244	0.615667845	2249.57461	3308.52331	39.3929779	9.97013037	14.1455834	1232.52625	-0.211220631	7.98173329	0.165762486	supercritical
254.590470	1.72000000	1.62016756	0.617220112	2256.00736	3317.62595	39.4287772	9.97451857	14.1496326	1233.97598	-0.212901258	7.99559472	0.166098889	supercritical
255.233875	1.72000000	1.61610333	0.618772316	2262.44281	3326.73119	39.4644963	9.97886717	14.1536450	1235.42435	-0.214571716	8.00944555	0.166434802	supercritical
255.877280	1.72000000	1.61205960	0.620324458	2268.88093	3335.83900	39.5001356	9.98317647	14.1576208	1236.87136	-0.216232099	8.02328581	0.166770226	supercritical
256.520685	1.72000000	1.60803622	0.621876540	2275.32170	3344.94935	39.5356953	9.98744675	14.1615603	1238.31700	-0.217882501	8.03711554	0.167105163	supercritical
257.164090	1.72000000	1.60403302	0.623428561	2281.76510	3354.06223	39.5711757	9.99167830	14.1654638	1239.76129	-0.219523012	8.05093478	0.167439614	supercritical
257.807495	1.72000000	1.60004987	0.624980522	2288.21110	3363.17760	39.6065772	9.99587139	14.1693314	1241.20422	-0.221153725	8.06474356	0.167773582	supercritical
258.450900	1.72000000	1.59608659	0.626532423	2294.65969	3372.29546	39.6419001	10.0000263	14.1731636	1242.64580	-0.222774730	8.07854192	0.168107069	supercritical
259.094305	1.72000000	1.59214305	0.628084265	2301.11083	3381.41576	39.6771446	10.0041434	14.1769605	1244.08604	-0.224386114	8.09232991	0.168440076	supercritical
